sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_location
P415_DNA_S50_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4044.0,27473680,60390,0.22,0,1.0,69.938,1.07,972110,971804,679876,"",636078,Human,"",288,205,102,18,3916961,316.285,159.118,13250785,Nasopharyngeal Swab,DNA,Canada
P411_DNA_S62_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4089.0,19546392,15918,0.081,0,1.0,63.878,1.06,676040,675846,431838,"",407246,Human,"",271,191,91,18,3788097,299.153,144.643,9435176,Nasopharyngeal Swab,DNA,Canada
P410_DNA_S61_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,3986.0,19191850,84520,0.44,0,1.0,70.166,1.08,799946,799756,561290,"",520366,Human,"",283,177,104,18,5102442,313.87,163.383,9195952,Nasopharyngeal Swab,DNA,Canada
P408_DNA_S84_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:06 -0800,COMPLETE,7221.0,23580110,382662,1.623,0,1.0,76.281,1.08,1392436,1392220,1062170,"",986848,Human,"",263,184,93,16,4442863,294.651,149.948,11093837,Nasopharyngeal Swab,DNA,Canada
P406_DNA_S38_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:06 -0800,COMPLETE,7745.0,24127742,1511214,6.263,0,1.0,88.68,1.09,3275666,3275218,2904854,"",2662178,Human,"",263,168,100,18,4392319,300.654,164.688,10426038,Nasopharyngeal Swab,DNA,Canada
P311_DNA_S64_L001_1, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4866.0,16452490,184964,1.124,0,1.0,73.652,1.06,978018,977874,720326,"",677522,Human,"",304,220,104,16,4686395,328.577,160.654,7737236,Nasopharyngeal Swab,DNA,Canada
P069_DNA_S27_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4571.0,23356096,226280,0.969,0,1.0,75.371,1.07,1164470,1164238,877678,"",817202,Human,"",268,165,100,16,3642716,298.863,157.121,11095813,Nasopharyngeal Swab,DNA,Canada
P080_DNA_S49_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4590.0,24507262,59176,0.241,0,1.0,67.99,1.07,976298,976092,663782,"",618838,Human,"",277,190,96,18,4207868,304.7,150.741,11765482,Nasopharyngeal Swab,DNA,Canada
P090_DNA_S25_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4485.0,27646936,33240,0.12,0,1.0,70.615,1.07,1002882,1002556,708186,"",662488,Human,"",293,209,100,18,4086450,321.35,156.949,13322027,Nasopharyngeal Swab,DNA,Canada
P399_DNA_S1_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4918.0,28950652,48316,0.167,0,1.0,74.921,1.07,1058512,1058234,793052,"",741652,Human,"",256,169,90,18,4929396,288.279,145.751,13946070,Nasopharyngeal Swab,DNA,Canada
P405_DNA_S13_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,5327.0,29058038,171728,0.591,0,1.0,71.655,1.08,1137034,1136724,814742,"",753114,Human,"",277,185,94,15,4434364,304.954,149.649,13960502,Nasopharyngeal Swab,DNA,Canada
P407_DNA_S2_L001, Daniel Castaneda Mogollon,2020-12-15 22:13:48 -0800,COMPLETE,4136.0,29853656,22332,0.075,0,1.0,69.474,1.08,945396,945132,656800,"",609256,Human,"",283,208,99,18,4306857,311.966,155.641,14454130,Nasopharyngeal Swab,DNA,Canada
TS_E_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,12851.0,14359998,1977430,13.77,0,1.0,93.173,1.07,4126696,4126592,3844974,"",3599018,Human,"",254,164,98,18,4137779,276.934,144.601,5116651,Throat Swab,DNA,Canada
TS_D_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,13993.0,22695514,1873994,8.257,2,1.0,90.007,1.07,3829406,3829182,3446736,"",3218496,Human,"",268,164,109,18,4075678,295.75,163.035,9433054,Throat Swab,DNA,Canada
TS_C_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,14434.0,22286652,1292888,5.801,0,1.0,89.762,1.07,2903422,2903206,2606162,"",2440188,Human,"",224,168,95,18,4173247,258.342,151.329,9691615,Throat Swab,DNA,Canada
TS_B_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,9963.0,21365694,1041122,4.873,0,1.0,88.427,1.07,2367284,2367030,2093320,"",1947400,Human,"",241,163,94,16,3876869,278.081,152.86,9499205,Throat Swab,DNA,Canada
TS_A_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,7220.0,18798788,281244,1.496,0,1.0,84.212,1.06,1055916,1055784,889210,"",836144,Human,"",196,170,73,18,4406562,229.044,125.363,8871436,Throat Swab,DNA,Canada
NP_E_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8037.0,17098832,1060832,6.204,0,1.0,88.86,1.1,2019256,2019050,1794314,"",1633274,Human,"",257,171,101,18,4075190,280.301,151.701,7539788,Nasopharyngeal Swab,DNA,Canada
NP_D_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,10313.0,20282170,1999270,9.857,0,1.0,91.154,1.08,3594848,3594572,3276856,"",3021352,Human,"",261,175,102,17,4543427,288.732,156.516,8343661,Nasopharyngeal Swab,DNA,Canada
NP_C_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8378.0,16834116,1449880,8.613,0,1.0,90.087,1.07,2589424,2589236,2332726,"",2172842,Human,"",261,167,106,13,3997388,290.994,163.941,7122346,Nasopharyngeal Swab,DNA,Canada
NP_B_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8555.0,19924574,399904,2.007,0,1.0,81.325,1.07,1288692,1288470,1048034,"",983578,Human,"",264,174,99,18,3648629,291.1,153.923,9317941,Nasopharyngeal Swab,DNA,Canada
P389_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,3350.0,18766880,25470,0.136,0,1.0,71.638,1.07,666992,666794,477818,"",448430,Human,"",221,132,90,18,3929129,252.775,140.35,9049944,Nasopharyngeal Swab,DNA,Canada
P388_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,3477.0,18749066,39244,0.209,0,1.0,72.594,1.06,712982,712770,517582,"",487898,Human,"",270,197,98,18,3969464,293.529,148.715,9018042,Nasopharyngeal Swab,DNA,Canada
P381_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,3884.0,19048514,30170,0.158,0,1.0,72.414,1.07,612006,611766,443176,"",414918,Human,"",252,164,100,10,3790269,277.046,148.994,9218254,Nasopharyngeal Swab,DNA,Canada
P374_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,10525.0,14447508,699496,4.842,2,1.0,90.314,1.07,1475334,1475238,1332426,"",1247672,Human,"",150,100,47,14,3588139,166.811,84.7232,6486087,Throat swab,DNA,Canada
P369_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,12826.0,20103510,4159615,20.691,108,0.51441,95.49,1.07,8650232,8650096,8260114,"",7719380,Human,"",195,121,72,18,3642243,219.524,117.216,5726639,Throat swab,DNA,Canada
P368_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,10154.0,11188480,512450,4.58,0,1.0,90.272,1.07,1242516,1242448,1121644,"",1051712,Human,"",195,159,73,18,3578770,221.536,119.855,4972982,Throat swab,DNA,Canada
P363_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,8303.0,28012624,907928,3.241,0,1.0,87.297,1.1,2311186,2310890,2017594,"",1836438,Human,"",250,160,102,18,4168112,278.736,155.095,12850719,Throat swab,DNA,Canada
P356_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,14004.0,20679390,1700124,8.221,0,1.0,92.546,1.07,3415172,3414948,3160622,"",2957380,Human,"",230,161,87,13,4593324,260.24,139.045,8632109,Throat swab,DNA,Canada
P351_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,7382.0,25045978,701766,2.802,0,1.0,84.983,1.06,1954156,1953952,1660708,"",1559354,Human,"",181,79,78,18,3588167,219.18,136.718,11545911,Throat swab,DNA,Canada
P348_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,7830.0,19913788,364136,1.829,0,1.0,82.811,1.07,1294130,1293974,1071682,"",1001566,Human,"",181,80,74,16,4127289,221.56,135.207,9309829,Throat swab,DNA,Canada
P344_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,11477.0,21504540,2512774,11.685,0,0.849201,92.222,1.07,4240436,4240274,3910630,"",3641820,Human,"",120,80,43,17,4414720,144.352,87.7472,8632052,Throat swab,DNA,Canada
P339_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,11128.0,20585620,1611562,7.829,0,1.0,92.617,1.08,3172424,3172274,2938198,"",2716984,Human,"",165,100,69,18,3884621,199.24,122.798,8706598,Throat swab,DNA,Canada
P336_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,4149.0,1449648,203638,14.047,0,1.0,42.184,1.27,659370,658256,278150,"",218994,Human,"",126,20,32,18,1917058,137.804,62.9601,395139,Throat swab,DNA,Canada
P322_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,7614.0,20908814,731096,3.497,2,1.0,80.896,1.08,1753770,1753388,1418736,"",1313338,Human,"",268,176,108,14,3740159,298.644,168.637,9577522,Nasopharyngeal Swab,DNA,Canada
P303_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,8725.0,19148784,745326,3.892,0,1.0,83.027,1.08,1693760,1693534,1406284,"",1298020,Human,"",257,90,130,18,3994368,290.489,183.66,8727512,Nasopharyngeal Swab,DNA,Canada
P299_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,13834.0,27963598,3189119,11.405,6,0.681086,92.628,1.09,5485216,5484936,5080820,"",4644542,Human,"",105,69,41,18,3397296,145.796,102.36,11239191,Throat swab,DNA,Canada
P297_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,4869.0,19030318,120658,0.634,0,1.0,70.306,1.07,767634,767358,539696,"",506480,Human,"",278,189,104,18,4452094,299.085,155.146,9131342,Nasopharyngeal Swab,DNA,Canada
P289_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,10511.0,18338068,823494,4.491,0,1.0,85.786,1.09,1821646,1821428,1562714,"",1437946,Human,"",247,169,111,18,3999623,285.935,169.632,8258211,Throat swab,DNA,Canada
P281_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,6792.0,16841348,165568,0.983,0,1.0,80.096,1.07,789810,789668,632606,"",589550,Human,"",244,169,96,18,5173381,266.573,141.568,8025769,Nasopharyngeal Swab,DNA,Canada
P273_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,7200.0,16700384,140270,0.84,0,1.0,77.093,1.06,788794,788590,608106,"",573492,Human,"",277,215,106,18,4441796,298.223,156.674,7955795,Nasopharyngeal Swab,DNA,Canada
P262_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,6411.0,21821962,223844,1.026,0,1.0,75.577,1.08,1109312,1109080,838384,"",778308,Human,"",298,164,125,16,3966089,319.866,174.04,10356325,Nasopharyngeal Swab,DNA,Canada
P158_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,9511.0,25502150,866042,3.396,0,1.0,88.911,1.08,1994586,1994424,1773412,"",1639176,Human,"",136,80,58,16,4140092,183.143,126.185,11753782,Throat swab,DNA,Canada
P147_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,13126.0,21468280,746902,3.479,0,1.0,85.89,1.07,1922234,1922068,1651010,"",1543652,Human,"",221,165,88,18,3730427,253.625,143.572,9773023,Throat swab,DNA,Canada
P144_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,12903.0,21206122,8345694,39.355,0,0.257403,95.279,1.08,15240764,15240604,14521280,"",13496142,Human,"",182,99,77,18,3704111,214.223,129.333,2982679,Throat swab,DNA,Canada
P143_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,14112.0,14895168,5000937,33.574,2,0.427146,95.196,1.07,6747060,6746906,6422960,"",5997952,Human,"",107,80,36,18,3258884,136.932,87.1908,4074054,Throat swab,DNA,Canada
P141_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,10874.0,18705528,1001132,5.352,0,1.0,89.247,1.07,2150076,2149842,1918874,"",1786942,Human,"",236,172,95,18,3603447,269.907,152.016,8277726,Throat swab,DNA,Canada
P140_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,11000.0,20481396,1459738,7.127,0,1.0,89.354,1.08,2748584,2748298,2455982,"",2280266,Human,"",201,153,80,17,4626932,243.864,146.902,8866406,Throat swab,DNA,Canada
P133_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,9731.0,15708740,455752,2.901,0,1.0,86.568,1.07,1242986,1242840,1076032,"",1001820,Human,"",221,176,84,18,4978257,248.816,133.327,7232877,Throat swab,DNA,Canada
P122_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,17259.0,18935182,3277659,17.31,0,0.65495,93.877,1.08,6537454,6537360,6137146,"",5707510,Human,"",155,122,45,16,3226421,181.745,100.01,6198864,Throat swab,DNA,Canada
P121_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,11582.0,20818628,1250426,6.006,0,1.0,89.207,1.08,2301300,2301104,2052924,"",1907746,Human,"",214,170,89,18,3653583,250.219,144.205,9258664,Throat swab,DNA,Canada
P113_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,10279.0,18684426,744842,3.986,0,1.0,87.53,1.08,1826448,1826278,1598692,"",1476214,Human,"",239,169,99,18,4053707,269.137,152.495,8428989,Throat swab,DNA,Canada
P022_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,9258.0,22910206,610606,2.665,0,1.0,86.559,1.09,2065592,2065322,1787950,"",1640160,Human,"",252,169,103,18,4030734,282.354,160.176,10422307,Nasopharyngeal Swab,DNA,Canada
P004_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,9541.0,20246544,658268,3.251,0,1.0,88.082,1.07,1572170,1571872,1384802,"",1291088,Human,"",250,163,96,14,3916001,276.091,148.159,9337187,Nasopharyngeal Swab,DNA,Canada
P105_DNA_L001_1, Daniel Castaneda Mogollon,2021-02-21 18:49:51 -0800,COMPLETE,11525.0,27251714,1874096,6.877,0,1.0,90.119,1.09,3431920,3431512,3092804,"",2832200,Human,"",214,153,87,17,4624717,247.429,144.856,11909897,Throat swab,DNA,Canada
P138_DNA_L001, Daniel Castaneda Mogollon,2021-02-21 19:05:02 -0800,COMPLETE,14465.0,34198938,2815632,8.233,38,0.758502,91.303,1.07,5962996,5962746,5444392,"",5072886,Human,"",153,80,67,12,3831648,197.2,132.815,14117971,Throat swab,DNA,Canada
P14_DNA_L001_1, Daniel Castaneda Mogollon,2021-03-05 19:54:49 -0800,COMPLETE,9005.0,30449064,644782,2.118,0,1.0,89.376,1.1,2115752,2115468,1890976,"",1711508,Human,"",227,179,77,17,3956602,254.032,126.662,14166656,Nasopharyngeal Swab,DNA,Alberta Pilot Program
P32_dna_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:27 -0800,COMPLETE,17571.0,19068234,2611157,13.694,0,0.853585,95.398,1.11,5259676,5259496,5017622,"",4501168,Human,"",231,180,80,18,4554624,259.975,133.349,6904279,Nasopharyngeal Swab,DNA,International
VOC2_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,17082.0,18941058,4500092,23.758,10,0.49758,95.81,1.12,8991378,8991176,8614658,"",7677474,Human,"",180,80,67,18,3706602,209.54,122.376,4974840,Nasopharyngeal Swab,DNA,International
VOC3_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,19530.0,20562442,2431120,11.823,0,0.916632,94.33,1.12,5088270,5088058,4799756,"",4300318,Human,"",197,80,90,14,3778630,237.33,154.032,7737086,Nasopharyngeal Swab,DNA,International
VOC4_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,11182.0,18049590,831198,4.605,0,1.0,92.86,1.11,2166390,2166268,2011704,"",1808102,Human,"",216,179,69,18,3979493,243.842,117.106,7941600,Nasopharyngeal Swab,DNA,International
VOC5_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,19625.0,24449116,1522396,6.227,0,1.0,92.323,1.11,3768066,3767858,3478800,"",3120978,Human,"",119,69,42,10,3920455,139.872,83.3634,10340525,Nasopharyngeal Swab,DNA,International
VOC6_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,13045.0,22936394,1318624,5.749,0,1.0,92.746,1.13,3234984,3234828,3000330,"",2664498,Human,"",121,69,41,15,3550867,136.974,74.7142,9850705,Nasopharyngeal Swab,DNA,International
VOC_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,8815.0,22330364,429506,1.923,0,1.0,87.902,1.11,1566738,1566506,1377200,"",1241136,Human,"",215,151,77,18,4095762,252.107,138.185,10381813,Nasopharyngeal Swab,DNA,International
P15_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,13018.0,21176470,812494,3.837,0,1.0,89.586,1.12,2090904,2090680,1873162,"",1673578,Human,"",277,190,98,18,4149691,310.184,159.978,9542783,Nasopharyngeal Swab,DNA,International
P16_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,15206.0,18826866,1386316,7.363,0,1.0,93.533,1.11,3244646,3244454,3034812,"",2738582,Human,"",227,168,87,18,3734145,259.966,146.945,7791110,Nasopharyngeal Swab,DNA,International
P17_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,15730.0,20385338,1992972,9.776,0,1.0,94.785,1.11,4281776,4281628,4058480,"",3649620,Human,"",200,80,84,18,4479697,222.974,127.221,8051781,Nasopharyngeal Swab,DNA,International
P18_DNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,19880.0,22682382,2409697,10.624,0,0.928114,94.555,1.12,5201928,5201692,4918690,"",4393398,Human,"",225,178,86,18,4121917,250.845,135.767,8740227,Nasopharyngeal Swab,DNA,International
