sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_location
P431_RNA_S56_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,3304.0,21777586,84794,0.389,0,1.0,60.204,1.12,962188,961634,579276,"",517280,Human,"",186,134,60,9,4115860,210.049,105.494,10407699,Nasopharyngeal Swab,RNA,Canada
P428_RNA_S92_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2387.0,22310726,9030,0.04,0,1.0,60.955,1.07,921278,921062,561568,"",524722,Human,"",197,153,64,18,4362007,220.621,109.112,10694724,Nasopharyngeal Swab,RNA,Canada
P425_RNA_S44_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,3216.0,15157352,34894,0.23,0,1.0,61.557,1.1,750210,749952,461804,"",420532,Human,"",192,133,65,17,4436598,218.567,113.566,7203571,Nasopharyngeal Swab,RNA,Canada
P424_RNA_S20_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2809.0,18079420,21382,0.118,0,1.0,57.307,1.08,730552,730308,418660,"",389444,Human,"",174,153,51,17,4126004,197.005,95.7753,8674434,Nasopharyngeal Swab,RNA,Canada
P421_RNA_S19_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2633.0,8142940,49390,0.607,0,1.0,35.07,1.11,865202,864080,303424,"",272656,Human,"",172,124,57,17,3665421,197.398,105.75,3638869,Nasopharyngeal Swab,RNA,Canada
P420_RNA_S90_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2306.0,20341522,30798,0.151,0,1.0,63.8,1.08,530062,529930,338180,"",312128,Human,"",155,153,37,17,3877538,172.245,69.4713,9905730,Nasopharyngeal Swab,RNA,Canada
P419_RNA_S55_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2782.0,24026306,8410,0.035,0,1.0,37.742,1.09,364726,364486,137656,"",126222,Human,"",167,153,44,13,3565530,183.574,74.4607,11830790,Nasopharyngeal Swab,RNA,Canada
P418_RNA_S67_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,3120.0,20149704,27568,0.137,0,1.0,60.113,1.07,780518,780146,469194,"",437014,Human,"",179,134,55,17,4406544,205.442,103.035,9684593,Nasopharyngeal Swab,RNA,Canada
P415_RNA_S54_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2171.0,22227010,4394,0.02,0,1.0,63.332,1.07,914236,913972,579006,"",541744,Human,"",179,137,59,15,4512024,208.697,111.267,10656387,Nasopharyngeal Swab,RNA,Canada
P411_RNA_S66_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2766.0,25194776,6000,0.024,0,1.0,56.699,1.08,723954,723720,410474,"",381000,Human,"",187,137,60,13,3973283,212.791,106.747,12235411,Nasopharyngeal Swab,RNA,Canada
P410_RNA_S65_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2600.0,21481156,54238,0.252,0,1.0,61.864,1.08,780748,780488,483000,"",449052,Human,"",196,153,68,17,4644084,228.946,124.226,10350204,Nasopharyngeal Swab,RNA,Canada
P408_RNA_S88_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,3714.0,20362912,19320,0.095,0,1.0,52.441,1.08,553938,553630,290490,"",268330,Human,"",153,137,40,17,4736253,177.29,82.9952,9904487,Nasopharyngeal Swab,RNA,Canada
P407_RNA_S6_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2182.0,21873400,2708,0.012,0,1.0,55.362,1.06,789238,788934,436934,"",413016,Human,"",180,137,56,16,4103087,205.622,103.807,10542081,Nasopharyngeal Swab,RNA,Canada
P406_RNA_S42_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2825.0,7605936,99900,1.313,0,1.0,33.317,1.21,795918,794822,265174,"",219062,Human,"",172,124,56,18,4295847,198.469,103.421,3405009,Nasopharyngeal Swab,RNA,Canada
P405_RNA_S17_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2583.0,20857446,29966,0.144,0,1.0,64.255,1.08,733834,733468,471522,"",435820,Human,"",171,134,52,18,4529766,196.668,99.0682,10061806,Nasopharyngeal Swab,RNA,Canada
P399_RNA_S5_L001, Daniel Castaneda Mogollon,2020-12-15 22:52:00 -0800,COMPLETE,2896.0,22690768,19934,0.088,0,1.0,65.447,1.07,935580,935290,612308,"",572020,Human,"",183,127,58,18,4333279,210.843,108.545,10877594,Nasopharyngeal Swab,RNA,Canada
P066_RNA_S18_L001, Daniel Castaneda Mogollon,2020-12-15 23:24:36 -0800,COMPLETE,2904.0,22052590,31944,0.145,0,1.0,39.734,1.1,500734,500172,198962,"",181652,Human,"",203,153,63,14,3588128,220.513,99.3162,10775928,Nasopharyngeal Swab,RNA,Canada
TS_E_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8395.0,17321796,9411625,54.334,0,0.351487,96.128,1.59,11904030,11903846,11443118,"",7189354,Human,"",203,117,77,18,4020052,228.598,123.98,2708883,Throat Swab,RNA,Canada
TS_C_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,9261.0,20688000,8236427,39.813,0,0.34462,95.984,1.38,10485592,10485356,10064534,"",7271964,Human,"",160,105,58,14,3682186,190.334,108.082,5101204,Throat Swab,RNA,Canada
TS_B_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,9316.0,23056294,2611666,11.327,0,0.90766,87.635,1.17,3959020,3958246,3469504,"",2968386,Human,"",154,93,57,12,4462262,180.963,105.217,9548637,Throat Swab,RNA,Canada
TS_A_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8522.0,19438784,5393150,27.744,0,0.512868,94.13,1.35,7400894,7400506,6966492,"",5164912,Human,"",181,153,62,13,4641001,201.973,104.515,6018945,Throat Swab,RNA,Canada
NP_E_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,8182.0,16381626,47250,0.288,0,1.0,53.165,1.09,294234,294090,156430,"",143284,Human,"",144,105,38,13,3578755,160.95,69.1804,8043696,Nasopharyngeal Swab,RNA,Canada
NP_D_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,4081.0,18121696,23678,0.131,0,1.0,52.874,1.07,332516,332322,175816,"",164090,Human,"",150,153,39,18,3997419,166.519,71.3447,8894590,Nasopharyngeal Swab,RNA,Canada
NP_C_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,6300.0,20576622,106838,0.519,0,1.0,59.325,1.1,759400,758850,450512,"",411140,Human,"",151,153,44,13,4679690,169.832,80.8438,9908611,Nasopharyngeal Swab,RNA,Canada
NP_B_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,9947.0,23805264,1309086,5.499,0,1.0,85.895,1.1,2764952,2764472,2374948,"",2167474,Human,"",145,91,55,17,4750468,175.462,107.461,10520156,Nasopharyngeal Swab,RNA,Canada
NP_A_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 12:27:36 -0800,COMPLETE,7256.0,21402054,290140,1.356,0,1.0,71.928,1.08,1179838,1179384,848634,"",782994,Human,"",208,134,81,17,4070944,236.957,133.102,10111108,Nasopharyngeal Swab,RNA,Canada
P389_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,7653.0,25147866,9458,0.038,0,1.0,69.608,1.08,728518,728270,507106,"",467596,Human,"",153,122,43,15,4202447,176.305,85.4253,12209674,Nasopharyngeal Swab,RNA,Canada
P388_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,3917.0,18898684,169548,0.897,0,1.0,73.364,1.12,895856,895612,657238,"",588424,Human,"",172,117,58,15,3939253,197.068,102.433,9001414,Nasopharyngeal Swab,RNA,Canada
P381_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,5951.0,21573718,1173894,5.441,4,1.0,81.796,1.3,1909186,1908658,1561630,"",1205454,Human,"",147,116,41,17,3452303,166.101,77.0961,9832266,Nasopharyngeal Swab,RNA,Canada
P374_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,12497.0,17030332,1962584,11.524,4,1.0,79.456,1.28,3354400,3353006,2665256,"",2080694,Human,"",137,113,36,17,4367374,152.086,66.3763,6837966,Throat swab,RNA,Canada
P369_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,12362.0,24091268,8923948,37.042,104,0.278952,94.378,1.21,13443340,13442694,12687522,"",10475850,Human,"",135,85,49,17,4440687,161.479,94.6364,5323964,Throat swab,RNA,Canada
P368_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,10959.0,23702012,846014,3.569,2,1.0,85.753,1.08,2046366,2046136,1754820,"",1632270,Human,"",175,79,67,18,4948582,206.637,120.408,10827823,Throat swab,RNA,Canada
P363_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,10161.0,15389138,1649244,10.717,0,1.0,70.763,1.27,3329752,3325874,2356226,"",1852164,Human,"",131,81,50,17,4484315,154.817,93.1301,6029693,Throat swab,RNA,Canada
P356_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:01 -0800,COMPLETE,8524.0,5444342,1293614,23.761,0,1.0,72.771,1.19,2270934,2269416,1652592,"",1386022,Human,"",139,113,41,18,3159044,156.334,76.9828,1586704,Throat swab,RNA,Canada
P351_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,9951.0,23559354,1115208,4.734,0,1.0,64.926,1.5,3182492,3179768,2066278,"",1378612,Human,"",151,114,46,17,3711559,169.776,85.608,10188431,Throat swab,RNA,Canada
P348_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,7799.0,12183696,1119746,9.191,0,1.0,77.535,1.22,1905326,1904420,1477288,"",1212426,Human,"",143,116,38,17,2958010,158.6,69.6622,5139185,Throat swab,RNA,Canada
P344_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,11675.0,25509490,2629104,10.306,0,0.893663,80.469,1.17,4760132,4758476,3830426,"",3273088,Human,"",163,111,62,12,4511313,187.306,107.688,10374679,Throat swab,RNA,Canada
P339_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,11359.0,19664100,1824222,9.277,0,1.0,91.925,1.09,3338684,3338502,3069070,"",2823984,Human,"",155,100,59,18,3971813,183.319,107.45,8162708,Throat swab,RNA,Canada
P322_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,11795.0,24783540,1834540,7.402,2,1.0,89.205,1.1,3590582,3590188,3202996,"",2910550,Human,"",153,80,66,18,4436407,191.885,127.348,10596479,Nasopharyngeal Swab,RNA,Canada
P303_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,5857.0,21843848,286382,1.311,0,1.0,63.947,1.1,787478,787070,503568,"",457864,Human,"",163,95,60,14,3425127,185.146,98.8428,10528185,Nasopharyngeal Swab,RNA,Canada
P299_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,13910.0,19424544,3159465,16.265,2,0.970598,58.383,1.52,8342554,8336206,4870664,"",3207586,Human,"",139,19,49,17,3578673,167.79,108.83,5540995,Throat swab,RNA,Canada
P297_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,8042.0,20352976,203098,0.998,0,1.0,70.807,1.18,877940,877452,621642,"",527286,Human,"",198,89,91,17,4073892,237.459,154.208,9737518,Nasopharyngeal Swab,RNA,Canada
P289_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:02 -0800,COMPLETE,13562.0,11522192,4996764,43.366,0,0.488655,95.569,1.18,7549100,7548914,7214626,"",6090352,Human,"",167,117,62,17,3924441,189.712,104.367,1986546,Throat swab,RNA,Canada
P281_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,4818.0,17198782,39552,0.23,0,1.0,67.602,1.07,755286,755080,510592,"",479198,Human,"",163,117,53,18,3588116,184.824,93.4583,8221748,Nasopharyngeal Swab,RNA,Canada
P273_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,4546.0,21508942,79318,0.369,0,1.0,65.513,1.21,840556,840080,550672,"",456894,Human,"",137,91,47,18,3796930,160.958,88.4483,10334193,Nasopharyngeal Swab,RNA,Canada
P262_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,4669.0,28082388,28014,0.1,0,1.0,24.955,1.45,411882,411592,102786,"",70774,Human,"",166,105,58,16,2693725,184.591,90.8022,13835253,Nasopharyngeal Swab,RNA,Canada
P147_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,8739.0,22834560,2955152,12.942,0,0.805588,91.995,1.18,3917766,3917354,3604148,"",3047450,Human,"",182,129,56,18,3641322,198.457,88.9798,9458397,Throat swab,RNA,Canada
P143_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,11863.0,17613434,9641324,54.738,0,0.389444,96.004,1.76,12046206,12045960,11564844,"",6567838,Human,"",173,113,65,18,3865181,200.233,113.794,2783614,Throat swab,RNA,Canada
P141_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,11054.0,18974586,2599248,13.699,0,0.875857,89.981,1.14,3828384,3827906,3444834,"",3034864,Human,"",170,131,59,14,4556801,191.328,99.962,7573101,Throat swab,RNA,Canada
P140_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,11076.0,20394980,6171024,30.258,0,0.427733,93.881,1.3,8161484,8160956,7662064,"",5894948,Human,"",186,116,67,18,3550898,215.618,120.313,6116748,Throat swab,RNA,Canada
P138_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,10271.0,9093200,4083978,44.912,2,0.632395,95.588,1.26,5396322,5396222,5158224,"",4106628,Human,"",192,113,72,18,3746694,219.762,121.276,1848439,Throat swab,RNA,Canada
P133_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:03 -0800,COMPLETE,12786.0,16618586,1514348,9.112,0,1.0,90.283,1.07,2984582,2984408,2694580,"",2507480,Human,"",187,116,70,18,4737271,213.907,117.193,6817002,Throat swab,RNA,Canada
P122_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,12958.0,19746838,13832908,70.051,6,0.221642,96.656,1.49,17516326,17516122,16930588,"",11334318,Human,"",162,117,55,18,2981445,190.153,102.751,1115256,Throat swab,RNA,Canada
P121_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,9533.0,24512892,751264,3.065,0,1.0,83.103,1.11,1280142,1279768,1063840,"",960160,Human,"",180,129,60,18,4271731,200.351,96.1422,11616375,Throat swab,RNA,Canada
P113_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,12924.0,20865192,1593002,7.635,4,1.0,89.957,1.15,2607872,2607462,2345962,"",2035750,Human,"",186,116,69,17,3787900,215.343,120.702,9128660,Throat swab,RNA,Canada
P022_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,9085.0,19148958,1392334,7.271,2,1.0,88.032,1.15,2109780,2109442,1857272,"",1612210,Human,"",146,122,39,18,3898040,169.744,83.0868,8519589,Nasopharyngeal Swab,RNA,Canada
P004_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 13:39:04 -0800,COMPLETE,12982.0,27027782,758080,2.805,0,1.0,85.173,1.12,1710592,1710208,1456968,"",1304946,Human,"",162,153,49,17,4139953,194.829,105.199,12658595,Nasopharyngeal Swab,RNA,Canada
P336_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 19:05:02 -0800,COMPLETE,6755.0,1449648,203638,14.047,0,1.0,42.184,1.27,659370,658256,278150,"",218994,Human,"",126,20,32,18,1917058,137.804,62.9601,395139,Throat swab,RNA,Canada
P105_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 19:05:02 -0800,COMPLETE,8516.0,20238122,1736934,8.582,4,1.0,90.688,1.16,2693808,2693510,2442954,"",2098962,Human,"",182,129,64,12,4062934,205.765,109.179,8772157,Throat swab,RNA,Canada
P144_cDNA_L001, Daniel Castaneda Mogollon,2021-02-21 22:14:40 -0800,COMPLETE,12393.0,41696524,25393340,60.9,0,0.13699,96.75,1.6,33913950,33913608,32811866,"",20515914,Human,"",168,134,57,18,3642500,191.812,102.609,3891287,Throat swab,RNA,Canada
VOC2_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,15701.0,22318026,11874443,53.206,0,0.223019,91.213,1.33,16830494,16828324,15351516,"",11549114,Human,"",154,20,46,15,4335838,168.609,89.3362,2743766,Nasopharyngeal Swab,RNA,International
VOC3_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,20873.0,22076020,10647578,48.231,2,0.251742,96.253,1.33,16148016,16147102,15542930,"",11703344,Human,"",176,135,53,18,3549196,201.223,99.6255,2964002,Nasopharyngeal Swab,RNA,International
VOC4_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,13395.0,17917888,4877056,27.219,0,0.511364,95.929,1.22,7167980,7167748,6876190,"",5658818,Human,"",181,145,52,18,3589402,202.068,92.6723,5374954,Nasopharyngeal Swab,RNA,International
VOC5_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,15224.0,19376858,8783298,45.329,6,0.285231,94.525,1.23,12451052,12450064,11769402,"",9564450,Human,"",119,103,28,17,3725413,132.585,57.5026,3462903,Nasopharyngeal Swab,RNA,International
VOC6_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,14573.0,18571950,8412690,45.298,2,0.312656,93.044,1.29,11720850,11718506,10905518,"",8463672,Human,"",128,103,31,17,3237742,142.862,62.7162,3425550,Nasopharyngeal Swab,RNA,International
VOC_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,11312.0,21584570,2111128,9.781,0,1.0,90.215,1.21,3334508,3334038,3008214,"",2480554,Human,"",167,134,48,12,3550956,193.507,95.0558,9125031,Nasopharyngeal Swab,RNA,International
P15_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:28 -0800,COMPLETE,9244.0,20419712,2148010,10.519,0,1.0,92.45,1.2,3300212,3299868,3051040,"",2532212,Human,"",195,136,61,16,3642450,219.116,108.515,8559750,Nasopharyngeal Swab,RNA,International
P16_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,11701.0,22660356,9199371,40.597,0,0.278079,96.33,1.26,12130746,12130296,11685488,"",9288362,Human,"",166,124,46,18,3714044,188.329,88.6772,5264805,Nasopharyngeal Swab,RNA,International
P17_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,18640.0,26470190,12143308,45.875,0,0.225587,95.666,1.33,16970714,16969980,16235134,"",12225210,Human,"",153,116,41,17,3767252,173.654,79.8897,4749738,Nasopharyngeal Swab,RNA,International
P18_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,12815.0,21276022,11423425,53.692,0,0.236559,97.08,1.32,14618498,14618194,14191690,"",10720084,Human,"",172,134,52,14,3692534,195.77,96.0643,3328762,Nasopharyngeal Swab,RNA,International
P19_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,16962.0,22008998,9039279,41.071,0,0.249424,95.448,1.13,13852412,13851856,13221884,"",11745544,Human,"",133,103,34,18,3510703,152.406,71.8834,4078293,Nasopharyngeal Swab,RNA,International
P20_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,17949.0,26601948,12096616,45.473,0,0.225507,94.428,1.31,16771724,16770092,15837124,"",12062004,Human,"",145,105,42,17,3642261,167.049,83.4586,4915112,Nasopharyngeal Swab,RNA,International
P21_CDNA_L001_2, Daniel Castaneda Mogollon,2021-03-05 20:51:29 -0800,COMPLETE,10081.0,18028410,8411057,46.654,2,0.324872,93.64,1.33,11484468,11482360,10754020,"",8109892,Human,"",160,124,46,17,4282262,180.798,86.7285,3271971,Nasopharyngeal Swab,RNA,International
